Contact Id,TxStart [s],TxStart [UTCG],TxStop [s],TxStop [UTCG],SourceEid,SourceName,DestinEid,DestinName,Avg. Delay [s],Data Rate [Bytes/s],Volume [Bytes]
0,0,1 Jan 2023 10:00:00.000,17777,1 Jan 2023 14:56:16.400,2,[2] gs-canberra,7,[7] ls-03,1.29728663816202,3750000,66663750000
7,0,1 Jan 2023 09:59:58.719,17565,1 Jan 2023 14:52:44.161,2,[2] gs-canberra,24,[24] circ,1.28312787746938,3750000,65868750000
8,0,1 Jan 2023 09:59:58.726,17572,1 Jan 2023 14:52:51.383,2,[2] gs-canberra,26,[26] north1,1.28352950825623,3750000,65895000000
9,0,1 Jan 2023 10:00:00.000,17791,1 Jan 2023 14:56:30.203,2,[2] gs-canberra,5,[5] ls-01-shackleton,1.2980543387195,3750000,66716250000
10,0,1 Jan 2023 09:59:58.709,1669,1 Jan 2023 10:27:48.335,2,[2] gs-canberra,27,[27] south0,1.29616765260062,3750000,6258750000
13,0,1 Jan 2023 09:59:58.704,17435,1 Jan 2023 14:50:34.178,2,[2] gs-canberra,25,[25] north0,1.29301525788457,3750000,65381250000
14,0,1 Jan 2023 09:59:58.704,17783,1 Jan 2023 14:56:22.271,2,[2] gs-canberra,28,[28] south1,1.29060282261024,3750000,66686250000
15,0,1 Jan 2023 10:00:00.000,1045,1 Jan 2023 10:17:24.276,4,[4] ls-00-peary,27,[27] south0,0.0055208311940442,1875000,1959375000
16,0,1 Jan 2023 10:00:00.000,16432,1 Jan 2023 14:33:51.487,4,[4] ls-00-peary,26,[26] north1,0.0241907116570277,1875000,30810000000
17,0,1 Jan 2023 10:00:00.000,16717,1 Jan 2023 14:38:36.914,5,[5] ls-01-shackleton,28,[28] south1,0.0239387393050123,1875000,31344375000
18,0,1 Jan 2023 10:00:00.000,904,1 Jan 2023 10:15:03.978,5,[5] ls-01-shackleton,25,[25] north0,0.0054927307380906,1875000,1695000000
19,0,1 Jan 2023 10:00:00.000,17788,1 Jan 2023 14:56:27.900,5,[5] ls-01-shackleton,2,[2] gs-canberra,1.29805527277588,12500000,222350000000
33,0,1 Jan 2023 10:00:00.000,226,1 Jan 2023 10:03:45.342,15,[15] ls-11,25,[25] north0,0.0056853112420355,1875000,423750000
34,0,1 Jan 2023 10:00:00.000,6004,1 Jan 2023 11:40:03.603,7,[7] ls-03,24,[24] circ,0.0174835702860855,1875000,11257500000
35,0,1 Jan 2023 10:00:00.000,18209,1 Jan 2023 15:03:28.125,7,[7] ls-03,28,[28] south1,0.0228224874442111,1875000,34141875000
36,0,1 Jan 2023 10:00:00.000,17775,1 Jan 2023 14:56:14.099,7,[7] ls-03,2,[2] gs-canberra,1.29728758596455,12500000,222187500000
58,0,1 Jan 2023 10:00:00.000,6004,1 Jan 2023 11:40:03.603,24,[24] circ,7,[7] ls-03,0.0174835702860855,12500000,75050000000
59,0,1 Jan 2023 10:00:00.000,36437,1 Jan 2023 20:07:16.197,24,[24] circ,25,[25] north0,0.0376504870700281,12500000,455462500000
60,0,1 Jan 2023 10:00:00.000,604800,29 Jan 2023 10:00:00.000,24,[24] circ,28,[28] south1,0.0250412567880577,12500000,30240000000000
61,0,1 Jan 2023 10:00:00.000,171,1 Jan 2023 10:02:50.668,24,[24] circ,27,[27] south0,0.0252466666794928,12500000,2137500000
62,0,1 Jan 2023 10:00:00.000,604800,29 Jan 2023 10:00:00.000,24,[24] circ,26,[26] north1,0.0254884852344238,12500000,30240000000000
64,0,1 Jan 2023 10:00:00.000,17562,1 Jan 2023 14:52:41.914,24,[24] circ,2,[2] gs-canberra,1.28313087839356,12500000,219525000000
69,0,1 Jan 2023 10:00:00.000,36437,1 Jan 2023 20:07:16.197,25,[25] north0,24,[24] circ,0.0376504870700281,12500000,455462500000
70,0,1 Jan 2023 10:00:00.000,17433,1 Jan 2023 14:50:32.016,25,[25] north0,2,[2] gs-canberra,1.29301717096126,12500000,217912500000
71,0,1 Jan 2023 10:00:00.000,904,1 Jan 2023 10:15:03.978,25,[25] north0,5,[5] ls-01-shackleton,0.0054927307380906,12500000,11300000000
73,0,1 Jan 2023 10:00:00.000,27567,1 Jan 2023 17:39:26.681,25,[25] north0,28,[28] south1,0.033830379583359,12500000,344587500000
76,0,1 Jan 2023 10:00:00.000,226,1 Jan 2023 10:03:45.342,25,[25] north0,15,[15] ls-11,0.0056853112420355,12500000,2825000000
81,0,1 Jan 2023 10:00:00.000,16432,1 Jan 2023 14:33:51.487,26,[26] north1,4,[4] ls-00-peary,0.0241907116570277,12500000,205400000000
82,0,1 Jan 2023 10:00:00.000,17569,1 Jan 2023 14:52:48.952,26,[26] north1,2,[2] gs-canberra,1.28353264656978,12500000,219612500000
85,0,1 Jan 2023 10:00:00.000,5968,1 Jan 2023 11:39:27.586,26,[26] north1,27,[27] south0,0.0396315646525079,12500000,74600000000
86,0,1 Jan 2023 10:00:00.000,604800,29 Jan 2023 10:00:00.000,26,[26] north1,24,[24] circ,0.0254884852344238,12500000,30240000000000
88,0,1 Jan 2023 10:00:00.000,20186,1 Jan 2023 15:36:25.458,26,[26] north1,28,[28] south1,0.043982779715379,12500000,252325000000
91,0,1 Jan 2023 10:00:00.000,1045,1 Jan 2023 10:17:24.276,27,[27] south0,4,[4] ls-00-peary,0.0055208311940442,12500000,13062500000
93,0,1 Jan 2023 10:00:00.000,5968,1 Jan 2023 11:39:27.586,27,[27] south0,26,[26] north1,0.0396315646525079,12500000,74600000000
94,0,1 Jan 2023 10:00:00.000,1670,1 Jan 2023 10:27:49.641,27,[27] south0,2,[2] gs-canberra,1.29617197063503,12500000,20875000000
95,0,1 Jan 2023 10:00:00.000,171,1 Jan 2023 10:02:50.668,27,[27] south0,24,[24] circ,0.0252466666794928,12500000,2137500000
97,0,1 Jan 2023 10:00:00.000,16717,1 Jan 2023 14:38:36.914,28,[28] south1,5,[5] ls-01-shackleton,0.0239387393050123,12500000,208962500000
102,0,1 Jan 2023 10:00:00.000,604800,29 Jan 2023 10:00:00.000,28,[28] south1,24,[24] circ,0.0250412567880577,12500000,30240000000000
105,0,1 Jan 2023 10:00:00.000,27567,1 Jan 2023 17:39:26.681,28,[28] south1,25,[25] north0,0.033830379583359,12500000,344587500000
106,0,1 Jan 2023 10:00:00.000,17781,1 Jan 2023 14:56:20.179,28,[28] south1,2,[2] gs-canberra,1.29060478779354,12500000,222262500000
107,0,1 Jan 2023 10:00:00.000,20186,1 Jan 2023 15:36:25.458,28,[28] south1,26,[26] north1,0.043982779715379,12500000,252325000000
108,0,1 Jan 2023 10:00:00.000,18209,1 Jan 2023 15:03:28.125,28,[28] south1,7,[7] ls-03,0.0228224874442111,12500000,227612500000
116,1099,1 Jan 2023 10:18:18.890,16472,1 Jan 2023 14:34:31.822,7,[7] ls-03,25,[25] north0,0.0199333123235084,1875000,28824375000
117,1099,1 Jan 2023 10:18:18.890,16472,1 Jan 2023 14:34:31.822,25,[25] north0,7,[7] ls-03,0.0199333123235084,12500000,192162500000
120,1254,1 Jan 2023 10:20:53.220,20421,1 Jan 2023 15:40:20.109,15,[15] ls-11,27,[27] south0,0.0217367463835228,1875000,35938125000
121,1254,1 Jan 2023 10:20:53.220,20421,1 Jan 2023 15:40:20.109,27,[27] south0,15,[15] ls-11,0.0217367463835228,12500000,239587500000
122,1291,1 Jan 2023 10:21:30.070,41909,1 Jan 2023 21:38:28.041,25,[25] north0,27,[27] south0,0.0429923770787351,12500000,507725000000
123,1291,1 Jan 2023 10:21:30.070,41909,1 Jan 2023 21:38:28.041,27,[27] south0,25,[25] north0,0.0429923770787351,12500000,507725000000
124,1317,1 Jan 2023 10:21:56.247,20283,1 Jan 2023 15:38:02.777,27,[27] south0,28,[28] south1,0.0320146622942114,12500000,237075000000
125,1317,1 Jan 2023 10:21:56.247,20283,1 Jan 2023 15:38:02.777,28,[28] south1,27,[27] south0,0.0320146622942114,12500000,237075000000
126,1414,1 Jan 2023 10:23:33.541,20186,1 Jan 2023 15:36:25.482,25,[25] north0,26,[26] north1,0.0329591258623902,12500000,234650000000
127,1414,1 Jan 2023 10:23:33.541,20186,1 Jan 2023 15:36:25.482,26,[26] north1,25,[25] north0,0.0329591258623902,12500000,234650000000
148,4853,1 Jan 2023 11:20:52.310,38026,1 Jan 2023 20:33:45.218,4,[4] ls-00-peary,25,[25] north0,0.0240307204614321,1875000,62199375000
149,4853,1 Jan 2023 11:20:52.310,38026,1 Jan 2023 20:33:45.218,25,[25] north0,4,[4] ls-00-peary,0.0240307204614321,12500000,414662500000
150,5026,1 Jan 2023 11:23:45.409,18183,1 Jan 2023 15:03:02.813,2,[2] gs-canberra,27,[27] south0,1.31505658711491,3750000,49338750000
151,5027,1 Jan 2023 11:23:46.718,18181,1 Jan 2023 15:03:00.377,27,[27] south0,2,[2] gs-canberra,1.31505904633413,12500000,164425000000
152,5160,1 Jan 2023 11:25:59.867,38327,1 Jan 2023 20:38:46.669,5,[5] ls-01-shackleton,27,[27] south0,0.0240628644648254,1875000,62188125000
153,5160,1 Jan 2023 11:25:59.867,38327,1 Jan 2023 20:38:46.669,27,[27] south0,5,[5] ls-01-shackleton,0.0240628644648254,12500000,414587500000
156,6362,1 Jan 2023 11:46:01.713,43369,1 Jan 2023 22:02:48.794,24,[24] circ,27,[27] south0,0.0381460292752115,12500000,462587500000
157,6362,1 Jan 2023 11:46:01.713,43369,1 Jan 2023 22:02:48.794,27,[27] south0,24,[24] circ,0.0381460292752115,12500000,462587500000
166,7377,1 Jan 2023 12:02:56.859,39809,1 Jan 2023 21:03:28.479,7,[7] ls-03,27,[27] south0,0.0244017321673705,1875000,60810000000
167,7377,1 Jan 2023 12:02:56.859,39809,1 Jan 2023 21:03:28.479,27,[27] south0,7,[7] ls-03,0.0244017321673705,12500000,405400000000
180,13341,1 Jan 2023 13:42:20.017,60947,2 Jan 2023 02:55:46.237,25,[25] north0,3,[3] gs-madrid,1.28868906426366,12500000,595075000000
181,13343,1 Jan 2023 13:42:22.680,60950,2 Jan 2023 02:55:49.775,3,[3] gs-madrid,25,[25] north0,1.28868913495795,3750000,178526250000
182,14225,1 Jan 2023 13:57:04.949,60464,2 Jan 2023 02:47:43.353,3,[3] gs-madrid,26,[26] north1,1.28850140043688,3750000,173396250000
183,14230,1 Jan 2023 13:57:09.916,60460,2 Jan 2023 02:47:39.893,26,[26] north1,3,[3] gs-madrid,1.28850249258495,12500000,577875000000
184,14528,1 Jan 2023 14:02:07.082,29927,1 Jan 2023 18:18:46.829,3,[3] gs-madrid,4,[4] ls-00-peary,1.29824462387544,3750000,57746250000
185,14531,1 Jan 2023 14:02:10.603,29931,1 Jan 2023 18:18:50.524,4,[4] ls-00-peary,3,[3] gs-madrid,1.29824109939367,12500000,192500000000
194,15342,1 Jan 2023 14:15:41.960,60695,2 Jan 2023 02:51:34.729,3,[3] gs-madrid,7,[7] ls-03,1.29738076641026,3750000,170073750000
195,15345,1 Jan 2023 14:15:44.974,60692,2 Jan 2023 02:51:31.179,7,[7] ls-03,3,[3] gs-madrid,1.29738136784178,12500000,566837500000
198,15632,1 Jan 2023 14:20:31.428,49166,1 Jan 2023 23:39:25.712,26,[26] north1,27,[27] south0,0.0348612210987964,12500000,419175000000
199,15632,1 Jan 2023 14:20:31.428,49166,1 Jan 2023 23:39:25.712,27,[27] south0,26,[26] north1,0.0348612210987964,12500000,419175000000
202,15957,1 Jan 2023 14:25:56.532,27023,1 Jan 2023 17:30:22.326,3,[3] gs-madrid,24,[24] circ,1.30746105279816,3750000,41497500000
203,15960,1 Jan 2023 14:25:59.355,27024,1 Jan 2023 17:30:23.674,24,[24] circ,3,[3] gs-madrid,1.30746115909837,12500000,138300000000
208,16073,1 Jan 2023 14:27:52.459,23588,1 Jan 2023 16:33:07.477,3,[3] gs-madrid,28,[28] south1,1.29338336526529,3750000,28181250000
209,16075,1 Jan 2023 14:27:54.854,23589,1 Jan 2023 16:33:08.795,28,[28] south1,3,[3] gs-madrid,1.29338239009708,12500000,93925000000
214,16665,1 Jan 2023 14:37:44.963,45111,1 Jan 2023 22:31:50.616,27,[27] south0,3,[3] gs-madrid,1.2911197120847,12500000,355575000000
215,16668,1 Jan 2023 14:37:47.305,45110,1 Jan 2023 22:31:49.299,3,[3] gs-madrid,27,[27] south0,1.2911191217472,3750000,106657500000
216,17399,1 Jan 2023 14:49:58.472,35218,1 Jan 2023 19:46:57.120,15,[15] ls-11,24,[24] circ,0.0167388603786578,1875000,33410625000
217,17399,1 Jan 2023 14:49:58.472,35218,1 Jan 2023 19:46:57.120,24,[24] circ,15,[15] ls-11,0.0167388603786578,12500000,222737500000
228,20380,1 Jan 2023 15:39:39.333,21833,1 Jan 2023 16:03:52.325,15,[15] ls-11,26,[26] north1,0.005940787866654,1875000,2724375000
229,20380,1 Jan 2023 15:39:39.333,21833,1 Jan 2023 16:03:52.325,26,[26] north1,15,[15] ls-11,0.005940787866654,12500000,18162500000
230,20526,1 Jan 2023 15:42:05.536,22503,1 Jan 2023 16:15:02.912,5,[5] ls-01-shackleton,26,[26] north1,0.0054907580078278,1875000,3706875000
231,20526,1 Jan 2023 15:42:05.536,22503,1 Jan 2023 16:15:02.912,26,[26] north1,5,[5] ls-01-shackleton,0.0054907580078278,12500000,24712500000
234,20692,1 Jan 2023 15:44:51.332,22637,1 Jan 2023 16:17:16.186,4,[4] ls-00-peary,28,[28] south1,0.0055018766098748,1875000,3646875000
235,20692,1 Jan 2023 15:44:51.332,22637,1 Jan 2023 16:17:16.186,28,[28] south1,4,[4] ls-00-peary,0.0055018766098748,12500000,24312500000
246,22701,1 Jan 2023 16:18:20.070,38117,1 Jan 2023 20:35:16.874,7,[7] ls-03,26,[26] north1,0.0199301640664004,1875000,28905000000
247,22701,1 Jan 2023 16:18:20.070,38117,1 Jan 2023 20:35:16.874,26,[26] north1,7,[7] ls-03,0.0199301640664004,12500000,192700000000
250,22898,1 Jan 2023 16:21:37.883,43479,1 Jan 2023 22:04:38.607,15,[15] ls-11,28,[28] south1,0.022192585821267,1875000,38589375000
251,22898,1 Jan 2023 16:21:37.883,43479,1 Jan 2023 22:04:38.607,28,[28] south1,15,[15] ls-11,0.022192585821267,12500000,257262500000
252,22916,1 Jan 2023 16:21:55.282,41882,1 Jan 2023 21:38:01.867,25,[25] north0,26,[26] north1,0.0320147885146644,12500000,237075000000
253,22916,1 Jan 2023 16:21:55.282,41882,1 Jan 2023 21:38:01.867,26,[26] north1,25,[25] north0,0.0320147885146644,12500000,237075000000
254,23013,1 Jan 2023 16:23:32.653,63384,2 Jan 2023 03:36:23.584,26,[26] north1,28,[28] south1,0.0440003666072747,12500000,504637500000
255,23013,1 Jan 2023 16:23:32.576,41785,1 Jan 2023 21:36:24.573,27,[27] south0,28,[28] south1,0.0329592458553881,12500000,234650000000
256,23013,1 Jan 2023 16:23:32.576,41785,1 Jan 2023 21:36:24.573,28,[28] south1,27,[27] south0,0.0329592458553881,12500000,234650000000
257,23013,1 Jan 2023 16:23:32.653,63384,2 Jan 2023 03:36:23.584,28,[28] south1,26,[26] north1,0.0440003666072747,12500000,504637500000
280,26461,1 Jan 2023 17:21:00.090,59629,2 Jan 2023 02:33:48.814,4,[4] ls-00-peary,26,[26] north1,0.024036297097334,1875000,62190000000
281,26461,1 Jan 2023 17:21:00.090,59629,2 Jan 2023 02:33:48.814,26,[26] north1,4,[4] ls-00-peary,0.024036297097334,12500000,414600000000
284,26752,1 Jan 2023 17:25:51.605,59915,2 Jan 2023 02:38:34.531,5,[5] ls-01-shackleton,28,[28] south1,0.0240679605526142,1875000,62180625000
285,26752,1 Jan 2023 17:25:51.605,59915,2 Jan 2023 02:38:34.531,28,[28] south1,5,[5] ls-01-shackleton,0.0240679605526142,12500000,414537500000
286,26804,1 Jan 2023 17:26:43.709,60700,2 Jan 2023 02:51:39.399,3,[3] gs-madrid,28,[28] south1,1.30193139265797,3750000,127110000000
287,26806,1 Jan 2023 17:26:45.011,60696,2 Jan 2023 02:51:35.919,28,[28] south1,3,[3] gs-madrid,1.30193233151202,12500000,423625000000
296,29995,1 Jan 2023 18:19:54.586,61795,2 Jan 2023 03:09:54.920,7,[7] ls-03,28,[28] south1,0.0243618124015023,1875000,59625000000
297,29995,1 Jan 2023 18:19:54.586,61795,2 Jan 2023 03:09:54.920,28,[28] south1,7,[7] ls-03,0.0243618124015023,12500000,397500000000
300,31053,1 Jan 2023 18:37:32.367,60355,2 Jan 2023 02:45:54.505,3,[3] gs-madrid,24,[24] circ,1.29233774518618,3750000,109882500000
301,31054,1 Jan 2023 18:37:33.712,60352,2 Jan 2023 02:45:51.052,24,[24] circ,3,[3] gs-madrid,1.29233929698626,12500000,366225000000
304,32194,1 Jan 2023 18:56:33.157,50014,1 Jan 2023 23:53:33.150,7,[7] ls-03,24,[24] circ,0.0167469444996951,1875000,33412500000
305,32194,1 Jan 2023 18:56:33.157,50014,1 Jan 2023 23:53:33.150,24,[24] circ,7,[7] ls-03,0.0167469444996951,12500000,222750000000
312,37231,1 Jan 2023 20:20:30.459,70765,2 Jan 2023 05:39:24.807,25,[25] north0,28,[28] south1,0.0348611794223328,12500000,419175000000
313,37231,1 Jan 2023 20:20:30.459,70765,2 Jan 2023 05:39:24.807,28,[28] south1,25,[25] north0,0.0348611794223328,12500000,419175000000
328,41710,1 Jan 2023 21:35:09.184,88785,2 Jan 2023 10:39:44.437,26,[26] north1,1,[1] gs-goldstone,1.29228224419468,12500000,588437500000
329,41712,1 Jan 2023 21:35:11.725,88789,2 Jan 2023 10:39:48.028,1,[1] gs-goldstone,26,[26] north1,1.29228245316757,3750000,176538750000
333,41878,1 Jan 2023 21:37:57.657,45178,1 Jan 2023 22:32:57.910,27,[27] south0,1,[1] gs-goldstone,1.30901193852164,12500000,41250000000
334,41881,1 Jan 2023 21:38:00.098,45177,1 Jan 2023 22:32:56.576,1,[1] gs-goldstone,27,[27] south0,1.30891418881476,3750000,12360000000
336,41882,1 Jan 2023 21:38:01.142,42533,1 Jan 2023 21:48:52.736,4,[4] ls-00-peary,1,[1] gs-goldstone,1.30966089562416,12500000,8137500000
337,41884,1 Jan 2023 21:38:03.777,42529,1 Jan 2023 21:48:48.320,1,[1] gs-goldstone,4,[4] ls-00-peary,1.30966092587343,3750000,2418750000
342,41934,1 Jan 2023 21:38:53.548,88722,2 Jan 2023 10:38:41.499,25,[25] north0,1,[1] gs-goldstone,1.29382691691308,12500000,584850000000
344,41937,1 Jan 2023 21:38:56.427,88726,2 Jan 2023 10:38:45.512,1,[1] gs-goldstone,25,[25] north0,1.29382781609962,3750000,175458750000
352,42007,1 Jan 2023 21:40:06.264,88674,2 Jan 2023 10:37:53.056,7,[7] ls-03,1,[1] gs-goldstone,1.30131647034737,12500000,583337500000
353,42009,1 Jan 2023 21:40:08.921,88677,2 Jan 2023 10:37:56.724,1,[1] gs-goldstone,7,[7] ls-03,1.30131673552029,3750000,175005000000
356,42112,1 Jan 2023 21:41:51.618,70889,2 Jan 2023 05:41:28.053,24,[24] circ,1,[1] gs-goldstone,1.29347989216945,12500000,359712500000
357,42115,1 Jan 2023 21:41:54.271,70887,2 Jan 2023 05:41:26.703,1,[1] gs-goldstone,24,[24] circ,1.29348315377647,3750000,107895000000
358,42117,1 Jan 2023 21:41:56.604,44102,1 Jan 2023 22:15:01.428,5,[5] ls-01-shackleton,25,[25] north0,0.0055170971698818,1875000,3721875000
359,42117,1 Jan 2023 21:41:56.604,44102,1 Jan 2023 22:15:01.428,25,[25] north0,5,[5] ls-01-shackleton,0.0055170971698818,12500000,24812500000
362,42293,1 Jan 2023 21:44:52.303,44243,1 Jan 2023 22:17:22.902,4,[4] ls-00-peary,27,[27] south0,0.0054963085324059,1875000,3656250000
363,42293,1 Jan 2023 21:44:52.303,44243,1 Jan 2023 22:17:22.902,27,[27] south0,4,[4] ls-00-peary,0.0054963085324059,12500000,24375000000
364,42345,1 Jan 2023 21:45:44.415,60593,2 Jan 2023 02:49:52.592,3,[3] gs-madrid,5,[5] ls-01-shackleton,1.30214681723744,3750000,68430000000
365,42350,1 Jan 2023 21:45:49.882,60590,2 Jan 2023 02:49:49.061,5,[5] ls-01-shackleton,3,[3] gs-madrid,1.30215300541037,12500000,228000000000
366,42370,1 Jan 2023 21:46:09.520,67097,2 Jan 2023 04:38:16.285,28,[28] south1,1,[1] gs-goldstone,1.29524255942867,12500000,309087500000
367,42373,1 Jan 2023 21:46:12.273,67095,2 Jan 2023 04:38:14.964,1,[1] gs-goldstone,28,[28] south1,1.29524220980284,3750000,92707500000
368,42454,1 Jan 2023 21:47:33.069,43657,1 Jan 2023 22:07:36.475,15,[15] ls-11,25,[25] north0,0.0057542276807234,1875000,2255625000
369,42454,1 Jan 2023 21:47:33.069,43657,1 Jan 2023 22:07:36.475,25,[25] north0,15,[15] ls-11,0.0057542276807234,12500000,15037500000
372,42969,1 Jan 2023 21:56:08.668,79635,2 Jan 2023 08:07:14.323,24,[24] circ,25,[25] north0,0.0375733396588505,12500000,458325000000
373,42969,1 Jan 2023 21:56:08.668,79635,2 Jan 2023 08:07:14.323,25,[25] north0,24,[24] circ,0.0375733396588505,12500000,458325000000
384,44459,1 Jan 2023 22:20:58.471,60873,2 Jan 2023 02:54:32.824,7,[7] ls-03,25,[25] north0,0.0208768448391425,1875000,30776250000
385,44459,1 Jan 2023 22:20:58.471,60873,2 Jan 2023 02:54:32.824,25,[25] north0,7,[7] ls-03,0.0208768448391425,12500000,205175000000
386,44489,1 Jan 2023 22:21:28.196,85107,2 Jan 2023 09:38:26.168,25,[25] north0,27,[27] south0,0.0429923770793436,12500000,507725000000
387,44489,1 Jan 2023 22:21:28.196,85107,2 Jan 2023 09:38:26.168,27,[27] south0,25,[25] north0,0.0429923770793436,12500000,507725000000
388,44500,1 Jan 2023 22:21:39.721,65116,2 Jan 2023 04:05:15.872,15,[15] ls-11,27,[27] south0,0.0221906247031176,1875000,38655000000
389,44500,1 Jan 2023 22:21:39.721,65116,2 Jan 2023 04:05:15.872,27,[27] south0,15,[15] ls-11,0.0221906247031176,12500000,257700000000
390,44515,1 Jan 2023 22:21:54.373,63481,2 Jan 2023 03:38:00.903,27,[27] south0,28,[28] south1,0.0320146617029393,12500000,237075000000
391,44515,1 Jan 2023 22:21:54.373,63481,2 Jan 2023 03:38:00.903,28,[28] south1,27,[27] south0,0.0320146617029393,12500000,237075000000
392,44612,1 Jan 2023 22:23:31.667,63384,2 Jan 2023 03:36:23.609,25,[25] north0,26,[26] north1,0.0329591257948813,12500000,234650000000
393,44612,1 Jan 2023 22:23:31.667,63384,2 Jan 2023 03:36:23.609,26,[26] north1,25,[25] north0,0.0329591257948813,12500000,234650000000
414,48051,1 Jan 2023 23:20:50.196,81223,2 Jan 2023 08:33:42.429,4,[4] ls-00-peary,25,[25] north0,0.0240313720357657,1875000,62197500000
415,48051,1 Jan 2023 23:20:50.196,81223,2 Jan 2023 08:33:42.429,25,[25] north0,4,[4] ls-00-peary,0.0240313720357657,12500000,414650000000
419,48343,1 Jan 2023 23:25:42.322,60668,2 Jan 2023 02:51:07.453,3,[3] gs-madrid,27,[27] south0,1.32123884628943,3750000,46218750000
421,48344,1 Jan 2023 23:25:43.634,60664,2 Jan 2023 02:51:03.882,27,[27] south0,3,[3] gs-madrid,1.32124152401883,12500000,154000000000
422,48359,1 Jan 2023 23:25:58.366,81525,2 Jan 2023 08:38:44.289,5,[5] ls-01-shackleton,27,[27] south0,0.0240637403528614,1875000,62186250000
423,48359,1 Jan 2023 23:25:58.366,81525,2 Jan 2023 08:38:44.289,27,[27] south0,5,[5] ls-01-shackleton,0.0240637403528614,12500000,414575000000
424,48377,1 Jan 2023 23:26:16.761,88560,2 Jan 2023 10:35:59.211,1,[1] gs-goldstone,27,[27] south0,1.30404713115725,3750000,150686250000
425,48379,1 Jan 2023 23:26:18.071,88556,2 Jan 2023 10:35:55.578,27,[27] south0,1,[1] gs-goldstone,1.3040478747737,12500000,502212500000
428,49560,1 Jan 2023 23:45:59.839,86567,2 Jan 2023 10:02:46.920,24,[24] circ,27,[27] south0,0.038146074604485,12500000,462587500000
429,49560,1 Jan 2023 23:45:59.839,86567,2 Jan 2023 10:02:46.920,27,[27] south0,24,[24] circ,0.038146074604485,12500000,462587500000
436,51609,2 Jan 2023 00:20:08.709,83396,2 Jan 2023 09:09:55.590,7,[7] ls-03,27,[27] south0,0.0243877439389929,1875000,59600625000
437,51609,2 Jan 2023 00:20:08.709,83396,2 Jan 2023 09:09:55.590,27,[27] south0,7,[7] ls-03,0.0243877439389929,12500000,397337500000
440,53423,2 Jan 2023 00:50:22.812,88583,2 Jan 2023 10:36:22.518,1,[1] gs-goldstone,5,[5] ls-01-shackleton,1.30141088832846,3750000,131850000000
441,53426,2 Jan 2023 00:50:25.973,88579,2 Jan 2023 10:36:18.871,5,[5] ls-01-shackleton,1,[1] gs-goldstone,1.30138670221955,12500000,439412500000
454,58830,2 Jan 2023 02:20:29.554,92364,2 Jan 2023 11:39:23.838,26,[26] north1,27,[27] south0,0.0348612210638681,12500000,419175000000
455,58830,2 Jan 2023 02:20:29.554,92364,2 Jan 2023 11:39:23.838,27,[27] south0,26,[26] north1,0.0348612210638681,12500000,419175000000
458,61409,2 Jan 2023 03:03:28.087,79223,2 Jan 2023 08:00:22.541,15,[15] ls-11,24,[24] circ,0.016744361936127,1875000,33401250000
459,61409,2 Jan 2023 03:03:28.087,79223,2 Jan 2023 08:00:22.541,24,[24] circ,15,[15] ls-11,0.016744361936127,12500000,222675000000
470,63723,2 Jan 2023 03:42:02.776,65701,2 Jan 2023 04:15:00.359,5,[5] ls-01-shackleton,26,[26] north1,0.0054907472003491,1875000,3708750000
471,63723,2 Jan 2023 03:42:02.776,65701,2 Jan 2023 04:15:00.359,26,[26] north1,5,[5] ls-01-shackleton,0.0054907472003491,12500000,24725000000
474,63891,2 Jan 2023 03:44:50.201,65835,2 Jan 2023 04:17:14.740,4,[4] ls-00-peary,28,[28] south1,0.0055023706410692,1875000,3645000000
475,63891,2 Jan 2023 03:44:50.201,65835,2 Jan 2023 04:17:14.740,28,[28] south1,4,[4] ls-00-peary,0.0055023706410692,12500000,24300000000
476,64046,2 Jan 2023 03:47:25.467,65265,2 Jan 2023 04:07:44.359,15,[15] ls-11,26,[26] north1,0.0057478135445174,1875000,2285625000
477,64046,2 Jan 2023 03:47:25.467,65265,2 Jan 2023 04:07:44.359,26,[26] north1,15,[15] ls-11,0.0057478135445174,12500000,15237500000
488,66060,2 Jan 2023 04:20:59.709,82525,2 Jan 2023 08:55:24.473,7,[7] ls-03,26,[26] north1,0.020909676702216,1875000,30871875000
489,66060,2 Jan 2023 04:20:59.709,82525,2 Jan 2023 08:55:24.473,26,[26] north1,7,[7] ls-03,0.020909676702216,12500000,205812500000
490,66114,2 Jan 2023 04:21:53.408,85080,2 Jan 2023 09:37:59.994,25,[25] north0,26,[26] north1,0.0320147879265088,12500000,237075000000
491,66114,2 Jan 2023 04:21:53.408,85080,2 Jan 2023 09:37:59.994,26,[26] north1,25,[25] north0,0.0320147879265088,12500000,237075000000
492,66160,2 Jan 2023 04:22:39.365,88109,2 Jan 2023 10:28:28.549,15,[15] ls-11,28,[28] south1,0.0225635790024072,1875000,41154375000
493,66160,2 Jan 2023 04:22:39.365,88109,2 Jan 2023 10:28:28.549,28,[28] south1,15,[15] ls-11,0.0225635790024072,12500000,274362500000
494,66211,2 Jan 2023 04:23:30.779,106582,2 Jan 2023 15:36:21.711,26,[26] north1,28,[28] south1,0.0440003666237889,12500000,504637500000
495,66211,2 Jan 2023 04:23:30.702,84983,2 Jan 2023 09:36:22.699,27,[27] south0,28,[28] south1,0.0329592457856185,12500000,234650000000
